kbjd,flux,ferr
552.895775278, 150260.390625, 10.4217014313
552.916209267, 150284.09375, 10.4216775894
552.936643456, 150255.203125, 10.4216518402
552.957077544, 150283.828125, 10.4216270447
552.977511732, 150305.125, 10.4216032028
552.99794572, 150260.828125, 10.4215774536
553.018379808, 150281.03125, 10.4215526581
553.059247983, 150272.828125, 10.421503067
553.07968207, 150244.296875, 10.4214782715
553.100116256, 150207.390625, 10.4214525223
553.120550343, 150235.25, 10.4214286804
553.140984329, 150235.21875, 10.4214038849
553.161418515, 150289.109375, 10.4213781357
553.181852601, 150224.734375, 10.4213533401
553.202286586, 150291.703125, 10.4213485718
553.222720771, 150308.21875, 10.4213418961
553.243154856, 150273.21875, 10.421336174
553.26358884, 150223.890625, 10.421330452
